std_smiles,y_value
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,1.041392685158225
CN(c1ccc2c(c1)CNC2)[C@H](C(=O)NCC(F)F)c1cc(Cl)cc(C2CC2)c1,1.0253058652647702
N#Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,1.3424226808222062
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccc(F)cc3)nc12,1.5658478186735176
O=C(Nc1cc2c(c(-c3c[nH]c(=O)c(F)c3)c1)CNC2)c1cc(F)cc2[nH]ncc12,2.385606273598312
N#Cc1cc2c(cc1NC(=O)c1cc(F)cc3[nH]ncc13)CNC2,2.459392487759231
O=C(Nc1cc2c(c(C3=CCOCC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,2.1818435879447726
O=C(Nc1cc2c(c(C3=CCS(=O)(=O)CC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,1.9863237770507651
COc1cc(-c2cc(NC(=O)c3cc(F)cc4[nH]ncc34)cc3c2CNC3)ccn1,2.4149733479708178
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2c1cnn2C1CCC1,1.1271047983648077
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc(-c2cn[nH]c2)c1,2.7427251313046983
O=C(Nc1cc2c(cc1C1CC1)CNC2)c1cc(F)cc2[nH]ncc12,1.938519725176492
COCCNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,1.0681858617461617
O=C(Nc1cc(Br)c2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,2.161368002234975
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2c1CCC2,1.57287160220048
Cn1cc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2n1,1.260071387985075
O=C(Nc1cc2c(cc1Br)CNC2)c1cc(F)cc2[nH]ncc12,2.4756711883244296
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(C(F)(F)F)cc12,1.1038037209559568
Cn1c(=O)[nH]c2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Br)cc21,1.0969100130080565
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2cn[nH]c12,1.7323937598229686
Cc1c(C(=O)Nc2cc(-c3cccnc3)ccn2)cc(C2CC2)n1C,2.5888317255942077
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2ccncc12,1.3891660843645326
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,2.255272505103306
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(-c3ccccc3)nc12,1.6414741105040995
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]ccc12,1.5352941200427703
CCn1c(C)nnc1Sc1cc(C)nc2ncnn12,1.0
Cc1cc(Sc2nnc(C)o2)n2ncnc2n1,2.1789769472931693
Cc1nnc(Sc2cc(-c3ccccc3)nc3ncnn23)o1,2.667452952889954
COc1ccc(-c2nnc(Sc3cc(C)nc4ncnn34)o2)cc1,2.767897616018091
c1ccc(-c2cc(Sc3nnc(N4CCOCC4)s3)n3ncnc3n2)cc1,2.795184589682424
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,2.385606273598312
CCn1c(C)nnc1Sc1cc(-c2ccccc2)nc2ncnn12,1.3031960574204888
Clc1ccc(-c2cnc(Sc3cc(-c4ccccc4)nc4nncn34)o2)cc1,1.4329692908744058
Cn1c(Sc2cc(-c3ccccc3)nc3ncnn23)nnc1-c1ccncc1,2.113943352306837
